closure_group_id,rca,ur,graph_children,length_m,lat,lon
{0396bd63-75ea-4989-9ac8-6071d06447b7},Waka Kotahi NZ Transport Agency,rural,3,3046,-42.43696,171.36873
{8bbefa16-4f0a-4860-bb48-64bf90582244},Waka Kotahi NZ Transport Agency,rural,2,3025,-38.00810,176.75813
{b30ce4af-f6d4-4a44-8eaf-7748949f830f},Waka Kotahi NZ Transport Agency,rural,2,2952,-46.11693,169.14560
{1fbfa8e7-7780-464f-aa7d-aed3ce106ad0},Waka Kotahi NZ Transport Agency,rural,9,2907,-40.89243,175.03503
{d424c81a-bd23-4edc-976c-14b17262ab95},Waka Kotahi NZ Transport Agency,rural,2,2894,-43.57352,169.80796
{b3dd4560-47b8-458f-858f-d6d455c73731},Waka Kotahi NZ Transport Agency,rural,10,2884,-38.03327,175.32443
{f4e7a6a6-f6b5-4dfb-af4f-84b61cc7eaea},Waka Kotahi NZ Transport Agency,rural,3,2880,-42.34591,171.54174
{576da022-094b-403d-b278-2a5e04a7fee9},Waka Kotahi NZ Transport Agency,rural,2,2826,-43.39571,170.12570
{6c2076fc-e692-418b-b82c-b003888a2dab},Waka Kotahi NZ Transport Agency,rural,6,2805,-35.51671,173.83189
{bc9fddf2-8d94-48d6-9703-e0b2f27c937b},Waka Kotahi NZ Transport Agency,rural,3,2774,-40.42998,175.47166
{ffb79c44-6d75-430e-9442-78cc0777c258},Waka Kotahi NZ Transport Agency,rural,3,2753,-38.65592,177.95079
{eceb2308-3bee-4d7b-bb25-3ed9f308794f},Waka Kotahi NZ Transport Agency,rural,6,2750,-41.01377,175.53906
{8ae6c9ca-6c21-4896-b81f-7114701e54d4},Waka Kotahi NZ Transport Agency,rural,5,2747,-38.67615,177.91049
{8b923fd6-9364-4024-83f0-5bdfde03767e},Waka Kotahi NZ Transport Agency,rural,4,2742,-40.93298,174.99631
{397f08d4-8410-4461-ac7e-dc5955fc115b},Waka Kotahi NZ Transport Agency,rural,5,2731,-42.68510,171.00218
{79e7326d-e349-40b1-8ddb-b3154d5a3c14},Waka Kotahi NZ Transport Agency,rural,1,2727,-40.30923,175.77570
{e83e3570-e166-44cd-b458-733182dfadfa},Waka Kotahi NZ Transport Agency,rural,6,2712,-39.09135,174.09144
{ea2943c0-c3b1-49bd-9d7b-e240ff44e7f4},Waka Kotahi NZ Transport Agency,rural,3,2681,-40.38264,175.31806
{8183d916-52be-4dc1-920b-a2f4cb6e8a38},Waka Kotahi NZ Transport Agency,rural,5,2665,-38.46029,177.77131
{1a6c32f5-9dd6-4a0f-90a0-2fe189f9a490},Waka Kotahi NZ Transport Agency,rural,6,2663,-37.18997,175.85012
{5bc9d305-89ea-412c-ad22-0e28bd096c81},Waka Kotahi NZ Transport Agency,rural,1,2662,-42.76399,171.61790
{1560bd7b-9e55-42b3-b179-5906c5861e31},Waka Kotahi NZ Transport Agency,rural,2,2658,-36.98942,175.84094
{e83dc175-5e20-4122-9df9-328fc6ed6d5d},Waka Kotahi NZ Transport Agency,rural,1,2658,-43.75174,169.16347
{a997919f-7e59-45c6-8026-12b9ba732f37},Waka Kotahi NZ Transport Agency,rural,4,2639,-37.71192,175.20736
{e9054a70-d2ca-45ae-b5dd-5f16ab906a24},Waka Kotahi NZ Transport Agency,rural,3,2622,-38.47403,177.86790
{21540fdf-005a-49ea-9069-6a3c1bd815e9},Waka Kotahi NZ Transport Agency,rural,2,2621,-43.38708,170.15460
{3561da9f-5d9a-4d5c-80ff-9ed1ffad2f27},Waka Kotahi NZ Transport Agency,rural,3,2609,-35.57587,173.83082
{71216bfd-2501-4aa3-acb5-add2a12c9421},Waka Kotahi NZ Transport Agency,rural,3,2562,-35.45458,173.82036
{397134fa-5168-468a-a9ef-99a49db7cfcf},Waka Kotahi NZ Transport Agency,rural,7,2549,-40.86648,175.07390
{278e0c20-24c4-4d2b-af76-bb90fddc9a35},Waka Kotahi NZ Transport Agency,rural,8,2474,-43.54788,172.61659
{08118ae7-e7ea-41f2-9335-14d05c7988ad},Waka Kotahi NZ Transport Agency,rural,13,2446,-43.92519,171.71073
{2efbc4a1-e7e6-4729-9907-a3279e59acf6},Waka Kotahi NZ Transport Agency,rural,2,2380,-35.23248,173.54408
{31106d0e-c752-4718-a7f0-c2929cd49187},Waka Kotahi NZ Transport Agency,rural,6,2364,-36.86863,174.75627
{bf62ee21-1b2b-463e-8d38-95ee26cef43b},Waka Kotahi NZ Transport Agency,rural,3,2361,-41.15720,174.97669
{b5a782e9-57b8-4970-a940-b9a81265fa55},Waka Kotahi NZ Transport Agency,rural,2,2325,-37.54473,175.52611
{0399eb4c-ede7-461a-908e-2aaef7b2987e},Waka Kotahi NZ Transport Agency,rural,2,2320,-41.15126,174.98493
{7f6dd16a-f3df-4f8a-803e-ef95d81848b8},Waka Kotahi NZ Transport Agency,rural,3,2311,-43.43000,172.64602
{255fd1a5-c169-4f4d-ba61-9237c4c24aee},Waka Kotahi NZ Transport Agency,rural,1,2302,-44.02806,169.36379
{6bf906fe-a7ce-44f1-9136-2660979b450c},Waka Kotahi NZ Transport Agency,rural,1,2285,-35.45906,173.71503
