closure_group_id,rca,length_m,lat,lon
{5871893f-88a4-4dc5-bc87-1c628b639232},Land Information New Zealand,19442,-42.99673,172.44909
{ff1794c8-9dd6-40bf-9f18-304c2c23bc51},Waipa District Council,19433,-37.95159,175.13033
{64e9cf1c-c499-4c66-894a-2df9e7d7bd1b},Central Hawke's Bay District Council,19421,-39.88910,176.53244
{b2ac636d-c476-44c2-8011-f3164d3538c7},Land Information New Zealand,19335,-38.51553,175.96757
{6d7af83a-f8db-4235-835f-47481c79dea8},Kaipara District Council,19275,-36.24650,174.15966
{9a09021f-ba3e-4bc8-b0ae-d8a9a535197f},Central Otago District Council,19177,-44.96490,169.38385
{d98e64f5-ccd3-4094-bb05-3b090a2c8c56},Waikato District Council,19136,-37.54643,174.81592
{8944e7d7-858c-43d9-a045-cd8e7ae7c12e},Far North District Council,19093,-35.45050,173.83393
{cf81bfc2-6c8f-4456-a4e1-eab5bc2466ea},Ashburton District Council,18924,-43.38146,171.33436
{9ee590ad-9196-46e6-96fe-951494c66007},Waka Kotahi NZ Transport Agency,18645,-40.96553,174.98583
{a2e27eae-ee3e-42bc-82ca-3ac6d2d2f291},Waka Kotahi NZ Transport Agency,18642,-40.95538,174.98836
{9aec51ba-a743-4d02-ad07-e0935b24d855},Far North District Council,18210,-35.25448,173.24251
{43fd8211-c849-4ff7-9730-1a842afe1f3f},Selwyn District Council,18167,-43.58807,172.18530
{7d1e0c67-24af-4e4b-b10b-14585bf1a30a},Department of Conservation,18154,-38.94564,176.19093
{500aacca-6d1e-4ae6-b81b-56ad9f8a3a44},,17966,-43.83665,172.47831
{9430eaa6-9f62-4b38-a2b7-575ed65666d4},Land Information New Zealand,17886,-39.46524,175.81131
{c3c8a324-5a09-4729-bff2-53b938c5a9d6},Selwyn District Council,17878,-43.05891,171.87067
{8083fd28-d9ed-45bb-a9f0-22276fd8a4c9},Hastings District Council,17509,-39.65046,176.44157
{d1a349fc-6443-468e-8973-93a13bf4d007},South Waikato District Council,17277,-38.17257,175.69167
{6623f7b4-dbbd-423c-8ca1-9531e2007a8b},Land Information New Zealand,17271,-39.74481,176.27389
{9ff65e55-1e64-4cca-bb01-24ec1c029384},Waka Kotahi NZ Transport Agency,17233,-42.98333,170.68634
{1073a927-4c97-4c9a-b41a-bf6f5edf0cad},Waka Kotahi NZ Transport Agency,17147,-38.34162,175.88442
{1011dfc2-5f5b-46be-846a-0290b2e36403},,17127,-43.76578,172.77300
{92c76ffe-38a7-44c6-a1d1-845eb22c691a},Far North District Council,17065,-35.59978,173.70912
{5a4ca575-999f-455c-b4f3-664be7c4c5a7},Land Information New Zealand,16998,-41.63561,173.58555
{684da44f-9ed3-4c0f-8518-fff4fb7bd23d},Land Information New Zealand,16848,-44.27764,169.93669
{245f5581-766a-404d-921b-0ff004a30ba5},Land Information New Zealand,16848,-44.27764,169.93669
{7a6d435b-f78b-404b-9fda-8fb624066e2c},Central Otago District Council,16843,-44.99133,169.74272
{eef755bf-42d3-4573-8e9a-fa93320032e8},Land Information New Zealand,16791,-41.72220,173.54266
{32d31fa7-cdc2-44e9-b3b2-24d19adf2bb4},Land Information New Zealand,16651,-41.54659,172.81712
{8a62a5a3-c06d-496a-ad42-2b29c5243d40},Waitaki District Council,16375,-44.34811,169.89923
{75537cc5-70f0-4e18-b25c-0f3088b07dd1},Selwyn District Council,16290,-43.70873,172.24874
{c314e2e1-3a25-48ef-8d8f-22310416cb1f},Mackenzie District Council,16239,-44.06049,170.19348
{9a6790c3-31bc-4db7-b6e1-bb342f65d20d},Whakatane District Council,16211,-38.37106,177.10971
{2d696302-cbec-42d7-a482-194a5dd97c74},Land Information New Zealand,16192,-37.95515,176.03891
{1a383e97-0105-405e-9089-b158dffb1881},Western Bay of Plenty District Council,16071,-37.91783,176.44702
{e4cb484b-7399-40fc-8696-23e9428ee5ff},Waimakariri District Council,16062,-43.14194,172.41846
{4f17ad7c-b9f3-4d0a-bc1c-61ff7f76885a},Waka Kotahi NZ Transport Agency,16052,-40.04073,175.63365
{43684676-85ba-45dc-8750-c02678ecc152},Waka Kotahi NZ Transport Agency,16006,-41.11132,174.92030
{d7b29e41-4656-4bac-924b-73aecc596999},Land Information New Zealand,15791,-44.24033,170.19517
{af6e1b80-102a-4ca8-af1e-6418e485def3},Land Information New Zealand,15713,-34.98439,173.13817
{395442d9-df69-4453-9fac-a1c2b0a14a83},Waka Kotahi NZ Transport Agency,15685,-43.93409,169.04257
{c3361ca1-c7f9-4080-8daa-fc7345233c12},Department of Conservation,15598,-45.53828,167.17402
{7dc492d9-dd1e-4d92-bac0-baa8d4242b4e},Central Otago District Council,15583,-45.53722,169.59657
{f1552822-eac5-43ea-90d4-31ce5f771094},Selwyn District Council,15312,-43.75714,172.19671
{8b3e134f-671f-4860-a138-b7abb7d0a63a},Selwyn District Council,15272,-43.65970,172.02875
{1b1b6aae-6dca-4282-afd4-9e4e1356b2a9},Land Information New Zealand,15142,-45.11261,170.58394
{f6151caa-a7d1-4682-96db-89dd6ba86185},Gisborne District Council,15114,-38.42483,177.62947
{40c3498f-3113-4b07-aa20-961c4c1ec3dc},Western Bay of Plenty District Council,15087,-37.87824,176.24393
{03522212-a721-4f79-a4da-1ddc63b963e1},Waka Kotahi NZ Transport Agency,14984,-44.06814,170.36085
{6735d4f7-3540-4311-9d0e-9e67e2d94bb0},South Waikato District Council,14961,-38.25370,175.89276
{3c70a383-13b9-46e3-b404-89e072719575},South Wairarapa District Council,14747,-41.38650,175.68959
{28f3b597-859d-43f6-8fc3-447ba98da8ef},Land Information New Zealand,14727,-38.66928,176.45381
{896e2b76-2e0d-4675-a4ea-df4f226f9785},Selwyn District Council,14723,-43.66042,171.93240
{01510148-09d4-4177-9027-3557408760ca},Far North District Council,14504,-35.09879,173.46374
{08292032-9012-49d6-a58a-5622520fb63d},Kaipara District Council,14436,-35.91214,173.70984
{dd40728f-c041-4af9-8fc6-c56ac45a79c9},Waimakariri District Council,14416,-43.24549,172.30727
{bf2283e9-d285-455b-8024-2fb5bdf0e23f},Land Information New Zealand,14408,-41.09722,173.55846
{12e55f3f-98d0-4319-97bc-ecd0cb49eae8},South Waikato District Council,14405,-38.08335,175.63776
{a14b1c8e-be73-41fc-90d4-08f436ab5e6b},Whangarei District Council,14391,-35.72856,174.09801
{f31b7f4b-8112-4566-9d4d-f5d687f7f7a7},Land Information New Zealand,14381,-42.58695,171.27272
{52c715cd-9aec-463e-8aa8-c26fd6178d68},Waipa District Council,14374,-38.08230,175.62427
{16435162-519c-4cc7-bc07-11073f3d0286},Waipa District Council,14356,-38.13253,175.43000
{cf5ae3f8-55fa-4361-a570-1c12039702e5},Central Otago District Council,14311,-45.26339,169.91370
{455e84af-29eb-41d2-ae06-31040a14b4ef},Land Information New Zealand,14295,-36.60687,174.20698
{7b1ad5ad-9e46-46c3-8c3f-0d7e2dfb5d0a},Timaru District Council,14284,-44.23229,171.21163
{e8526179-e0bd-49bf-9ef5-1f937737c394},Selwyn District Council,14279,-43.58047,172.18383
{b567d306-fb8e-4390-bed5-6d81f892a74b},Land Information New Zealand,14234,-38.96831,176.36619
